SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADANITRANS, EQ, 01-Oct-2020,241.8,244.65,248,244,247.5,247.2,246.06,133131,327.58,4228,68478,51.44
ADFFOODS, EQ, 01-Oct-2020,417.65,420.05,434.5,420.05,429.8,431.15,428.52,53245,228.17,1801,20841,39.14
ADHUNIKIND, EQ, 01-Oct-2020,19.25,20.2,20.2,19.1,19.7,19.6,19.77,9876,1.95,75,7788,78.86
ADL, BE, 01-Oct-2020,31.05,24.05,25.25,22.85,22.85,22.85,23.09,26226,6.06,149, -, -
ADORWELD, EQ, 01-Oct-2020,244.9,246.05,250,244,244.95,244.85,246.19,11698,28.8,553,5320,45.48
ADROITINFO, EQ, 01-Oct-2020,5,5.2,5.25,5.2,5.25,5.25,5.24,465,0.02,15,465,100
ADSL, EQ, 01-Oct-2020,22.3,22.75,23.4,22.3,23.3,23.4,23.29,85130,19.83,328,58411,68.61
ADVANIHOTR, EQ, 01-Oct-2020,42.95,44.15,44.45,42.9,43.1,43.6,43.67,19063,8.33,274,4358,22.86
ADVENZYMES, EQ, 01-Oct-2020,330.3,329.8,344.4,322,334,334.65,333.11,1491344,4967.75,39113,461386,30.94
AEGISCHEM, EQ, 01-Oct-2020,228.85,232.05,236.65,227.25,228,228.1,231.37,100162,231.74,3386,51619,51.54
AFFLE, EQ, 01-Oct-2020,2875.05,2910,2950,2843,2884.95,2860.1,2886.01,17234,497.37,3743,9420,54.66
AGARIND, EQ, 01-Oct-2020,94.95,95,95,91,92.5,91.75,92.48,14102,13.04,234,12276,87.05
AGCNET, EQ, 01-Oct-2020,349.5,354.95,355,348.05,350,350.2,350.41,16657,58.37,204,10022,60.17
AGRITECH, EQ, 01-Oct-2020,29.45,30.35,30.5,29.3,29.55,29.65,29.62,5265,1.56,68,3510,66.67
AGROPHOS, EQ, 01-Oct-2020,9.15,9.2,9.55,8.9,9.1,9.2,9.24,35125,3.24,152,25503,72.61
AHLADA, SM, 01-Oct-2020,41.85,44.95,45.05,44.8,44.8,44.8,44.97,6000,2.7,6,5000,83.33
AHLEAST, EQ, 01-Oct-2020,145,146.7,150.7,142.35,143.25,143.75,146.2,454,0.66,56,252,55.51
AHLUCONT, EQ, 01-Oct-2020,234.35,235.1,240,234.45,238.4,237.45,237.45,21173,50.28,592,10576,49.95
AHLWEST, EQ, 01-Oct-2020,271.35,277.95,277.95,268.95,274.95,273.65,274.57,102,0.28,21,38,37.25
AIAENG, EQ, 01-Oct-2020,1848.55,1857.7,1886.35,1778,1833.1,1841.8,1821.23,38392,699.21,7082,13347,34.77
AIONJSW, EQ, 01-Oct-2020,17.8,18.2,18.2,17.3,18.1,18,17.77,94547,16.8,174,60411,63.9
AIRAN, EQ, 01-Oct-2020,12.45,12,12.9,12,12.7,12.3,12.39,22084,2.74,146,17763,80.43
AJANTPHARM, EQ, 01-Oct-2020,1613.6,1615.9,1627.45,1560.05,1604,1588.55,1588.28,175572,2788.57,13122,49719,28.32
AJMERA, EQ, 01-Oct-2020,81.5,83,83,81,81.55,81.4,82.01,20235,16.59,370,10555,52.16
AJOONI, SM, 01-Oct-2020,33.5,33.9,34,33,33.85,33.85,33.43,64000,21.39,14,36000,56.25
AKASH, BE, 01-Oct-2020,233.2,242.5,242.5,232,240,235,235.06,5393,12.68,30, -, -
AKG, SM, 01-Oct-2020,46.85,46.9,46.9,46.9,46.9,46.9,46.9,4000,1.88,1,4000,100
AKSHARCHEM, EQ, 01-Oct-2020,225.95,228.05,228.05,221.3,224.4,224.25,224.83,13040,29.32,980,6961,53.38
AKSHOPTFBR, EQ, 01-Oct-2020,5.6,5.8,5.8,5.5,5.6,5.55,5.65,118910,6.72,319,63094,53.06
AKZOINDIA, EQ, 01-Oct-2020,2165.2,2190,2199,2120.5,2157,2179.3,2172.34,15837,344.03,2103,5376,33.95
ALANKIT, EQ, 01-Oct-2020,17.7,17.95,18.2,17.1,17.75,17.7,17.54,339277,59.51,434,273639,80.65
ALBERTDAVD, EQ, 01-Oct-2020,441.25,444.6,447.8,430.95,433.95,433.5,439.26,10194,44.78,710,5407,53.04
ALCHEM, EQ, 01-Oct-2020,5.15,5.3,5.3,5.05,5.1,5.15,5.21,13230,0.69,92,10714,80.98
ALEMBICLTD, EQ, 01-Oct-2020,105,106,113.8,105.55,110.65,111.05,110.28,952566,1050.46,10747,389123,40.85
ALICON, EQ, 01-Oct-2020,328.05,329.2,334,325,325,325.8,328.39,2146,7.05,119,1418,66.08
ALKALI, EQ, 01-Oct-2020,46.15,46.5,48.5,46,46.5,46.75,46.77,19682,9.21,489,8982,45.64
ALKEM, EQ, 01-Oct-2020,2777.95,2784,2800,2727.25,2745,2742.1,2750.15,110657,3043.24,14230,53018,47.91
ALKYLAMINE, EQ, 01-Oct-2020,3208.95,3240,3288.95,3227.6,3255,3250.1,3260.23,25404,828.23,3485,11282,44.41
ALLCARGO, EQ, 01-Oct-2020,124.35,123.55,126.2,123.55,123.8,124.15,125.08,412607,516.11,5313,223925,54.27
ALLSEC, EQ, 01-Oct-2020,241.95,243.7,259.8,243.7,259.8,251.7,249.5,1412,3.52,105,1027,72.73
ALMONDZ, EQ, 01-Oct-2020,11.25,10.8,11.45,10.8,11,11,11.12,4531,0.5,34,3537,78.06
ALOKINDS, EQ, 01-Oct-2020,19.55,19.55,20.5,18.65,20.5,20.5,19.61,35682372,6996.25,35332,11774458,33
ALPA, EQ, 01-Oct-2020,30.65,31.25,31.95,29.35,30.3,29.9,30.53,90099,27.51,653,60573,67.23
ALPHAGEO, EQ, 01-Oct-2020,156.15,157.05,160.4,155.1,155.1,156.7,158.19,5909,9.35,331,3439,58.2
ALPSINDUS, EQ, 01-Oct-2020,1.35,1.4,1.4,1.35,1.4,1.35,1.39,20242,0.28,34,18496,91.37
AMARAJABAT, EQ, 01-Oct-2020,764.15,768.8,777.15,750.2,754,756.1,762.81,805780,6146.55,16332,63510,7.88
AMBER, EQ, 01-Oct-2020,2038.4,2064.8,2074,2030.05,2040,2043.85,2052.66,53414,1096.41,5448,12995,24.33
AMBIKCO, EQ, 01-Oct-2020,661.7,661,691.05,661,675,676.5,673.92,9719,65.5,777,6370,65.54
AMBUJACEM, EQ, 01-Oct-2020,217,218.5,221.95,217.55,221.45,221.2,220.32,3358699,7400.02,31667,690277,20.55
AMDIND, EQ, 01-Oct-2020,16.75,16.65,17.15,15.75,16.6,16.5,16.45,11632,1.91,98,8109,69.71
AMJLAND, EQ, 01-Oct-2020,19.15,19.2,19.2,18.3,19.2,19.15,19.02,11277,2.14,102,8987,79.69
AMRUTANJAN, EQ, 01-Oct-2020,423,424.9,428.5,424.25,427.45,427.6,427.27,50547,215.97,2708,27978,55.35
ANANTRAJ, EQ, 01-Oct-2020,31,31.2,31.95,30.9,31,31.3,31.52,270534,85.28,830,201421,74.45
ANDHRACEMT, EQ, 01-Oct-2020,4.9,4.9,4.95,4.75,4.85,4.85,4.85,137498,6.67,351,89954,65.42
ANDHRAPAP, EQ, 01-Oct-2020,192.95,196.05,204,193.75,199.2,199,199.57,43163,86.14,1788,23570,54.61
ANDHRSUGAR, EQ, 01-Oct-2020,299.3,302,305,295.9,305,298.4,299.71,39112,117.22,1671,23853,60.99
ANIKINDS, EQ, 01-Oct-2020,12.7,12.6,13.05,12.3,12.6,12.45,12.56,3360,0.42,21,3320,98.81
ANKITMETAL, BE, 01-Oct-2020,0.8,0.85,0.85,0.75,0.85,0.8,0.76,121214,0.93,68, -, -
ANSALAPI, EQ, 01-Oct-2020,3.95,4.1,4.1,3.85,4.1,4.1,4.09,90263,3.69,83,86854,96.22
ANSALHSG, EQ, 01-Oct-2020,4.15,4.1,4.35,3.95,3.95,4,4.23,73994,3.13,135,57842,78.17
ANUP, EQ, 01-Oct-2020,641.7,667.9,684.7,643,650,647.95,666.21,13958,92.99,1535,8176,58.58
APARINDS, EQ, 01-Oct-2020,292.8,294.3,295.7,286.85,289.8,289.15,290.06,26347,76.42,764,19785,75.09
APCL, EQ, 01-Oct-2020,188.75,191.95,191.95,181.55,186.95,186.45,188.34,19486,36.7,507,9656,49.55
APCOTEXIND, EQ, 01-Oct-2020,142.95,144.9,146.85,142,145.7,145.1,144.43,54218,78.31,1486,23894,44.07
APEX, EQ, 01-Oct-2020,244.9,246.85,262,246.8,261,258.7,254.14,129100,328.09,3641,60067,46.53
APLAPOLLO, EQ, 01-Oct-2020,2916.9,2945,3008.2,2917,2956.65,2954.35,2973.38,108038,3212.38,8409,56252,52.07
APLLTD, EQ, 01-Oct-2020,938.05,947,958.4,918.1,931,926.7,940.76,260059,2446.54,12532,127734,49.12
APOLLO, EQ, 01-Oct-2020,114.45,114.8,117.55,111.45,115.95,114.55,115.16,69416,79.94,1263,28752,41.42
APOLLOHOSP, EQ, 01-Oct-2020,2148.05,2151,2158.95,2076.5,2098,2089.75,2105.44,1224430,25779.62,62091,252878,20.65
APOLLOPIPE, EQ, 01-Oct-2020,390.8,397,408.55,389.95,394.2,395.75,399.2,39071,155.97,2177,18925,48.44
APOLLOTYRE, EQ, 01-Oct-2020,130.85,131.95,133.35,130.85,132.7,132.85,132.31,4311614,5704.64,19506,747780,17.34
APOLSINHOT, EQ, 01-Oct-2020,519,506.05,535,502.65,515,512.2,511.44,863,4.41,137,382,44.26
APTECHT, EQ, 01-Oct-2020,117.35,118,120,116.35,120,119.1,118.44,151655,179.62,2625,64492,42.53
ARCHIDPLY, EQ, 01-Oct-2020,24.9,25.25,25.4,24.75,24.8,24.8,24.95,7104,1.77,93,5823,81.97
ARCHIES, EQ, 01-Oct-2020,11.6,11.8,12.1,11.65,11.95,11.95,11.86,23415,2.78,477,19144,81.76
ARCOTECH, BE, 01-Oct-2020,2,2,2.1,2,2,2,2.05,17743,0.36,61, -, -
ARENTERP, EQ, 01-Oct-2020,11.15,10.55,11.25,10.5,11.25,11.25,10.9,1205,0.13,5,3,0.25
ARIES, EQ, 01-Oct-2020,77.15,78.6,78.65,76.05,77.85,77.7,77.35,25595,19.8,293,16060,62.75
ARIHANT, EQ, 01-Oct-2020,15.9,15.35,15.35,15.35,15.35,15.35,15.35,71,0.01,2,71,100
ARIHANTSUP, EQ, 01-Oct-2020,19.75,20.65,20.65,19.75,20,20,19.98,675,0.13,17,673,99.7
ARMANFIN, EQ, 01-Oct-2020,525.6,522.85,540,522.85,535,534.9,534.58,5015,26.81,431,3142,62.65
AROGRANITE, EQ, 01-Oct-2020,25.55,26.55,26.65,25.15,25.5,25.5,25.63,5039,1.29,108,2920,57.95
ARROWGREEN, EQ, 01-Oct-2020,50.1,52,52,50,50,50,50.07,14373,7.2,139,13675,95.14
ARSHIYA, EQ, 01-Oct-2020,14.05,14.75,14.75,14.75,14.75,14.75,14.75,8816,1.3,25,8816,100
ARSSINFRA, EQ, 01-Oct-2020,13.6,13.25,13.85,13.25,13.6,13.55,13.49,1904,0.26,24,1683,88.39
ARTEMISMED, EQ, 01-Oct-2020,153.8,157,160,154.3,156,156,156.85,1997,3.13,106,1682,84.23
ARVEE, SM, 01-Oct-2020,71.25,72.5,72.5,72.5,72.5,72.5,72.5,2000,1.45,1,2000,100
ARVIND, EQ, 01-Oct-2020,33.9,34.2,34.85,33.9,34.05,34.05,34.26,2056835,704.63,12997,1161628,56.48
ARVINDFASN, EQ, 01-Oct-2020,123.15,125,127.5,124,125.5,125.3,126.12,236057,297.71,2986,135983,57.61
ARVSMART, EQ, 01-Oct-2020,89.7,90.6,91.4,87.3,88.7,88.7,89.5,33639,30.11,823,17648,52.46
ASAHIINDIA, EQ, 01-Oct-2020,208.75,211.7,214.5,205.5,209.05,208.85,208.84,28296,59.09,1429,11631,41.1
ASAHISONG, EQ, 01-Oct-2020,212.9,215.25,217,210.1,213.95,212.35,214.75,20332,43.66,568,13192,64.88
ASAL, EQ, 01-Oct-2020,21.2,20.6,21.15,20.55,20.55,20.85,20.79,613,0.13,12,561,91.52
ASALCBR, EQ, 01-Oct-2020,257.15,257.9,261,256,259.05,259.8,258.34,29349,75.82,816,15278,52.06
ASHAPURMIN, EQ, 01-Oct-2020,79.85,79.8,81,76.15,76.3,76.65,78.17,96525,75.45,972,69410,71.91
ASHIANA, EQ, 01-Oct-2020,73.05,73.6,74,72.1,74,73.25,72.8,19146,13.94,391,10212,53.34
ASHIMASYN, BE, 01-Oct-2020,7.15,7,7.5,6.85,7.5,7.5,7.39,14692,1.09,43, -, -
ASHOKA, EQ, 01-Oct-2020,64.45,65,66.8,64.95,65.65,65.55,65.67,504827,331.53,3239,218082,43.2
ASHOKLEY, EQ, 01-Oct-2020,74.4,75.4,77,74.8,76.25,76.25,75.88,40385654,30646.28,91339,5409262,13.39
ASIANHOTNR, EQ, 01-Oct-2020,55,56,57,55.4,56,55.95,56.34,6249,3.52,194,3029,48.47
ASIANPAINT, EQ, 01-Oct-2020,1986.4,2007,2049.35,1992.05,2044.05,2040.45,2020.45,2014304,40698.03,67874,588686,29.23
ASIANTILES, EQ, 01-Oct-2020,291.75,295,297,287.2,291,289.65,292.08,287614,840.05,3994,53403,18.57
ASPINWALL, EQ, 01-Oct-2020,126.9,130,135.15,127.5,130.75,129.35,130.44,2247,2.93,56,904,40.23
ASTEC, EQ, 01-Oct-2020,1084.65,1106.85,1118.5,1090,1101,1100.65,1103.61,38266,422.31,2316,17139,44.79
ASTERDM, EQ, 01-Oct-2020,132.55,132.15,136.45,132.15,133.15,133.75,134.32,180256,242.12,2962,82611,45.83
ASTRAL, EQ, 01-Oct-2020,1224.8,1228,1249.9,1200.55,1207.6,1208,1225.68,125203,1534.58,14337,40707,32.51
ASTRAMICRO, EQ, 01-Oct-2020,116.85,117.9,118.75,113,114.15,114.2,114.91,743189,853.98,4430,427235,57.49
ASTRAZEN, EQ, 01-Oct-2020,4303.75,4337.8,4339.95,4278.95,4305,4294.15,4295.64,22473,965.36,3806,9482,42.19
ASTRON, EQ, 01-Oct-2020,47.45,47.1,49.4,47.1,47.1,47.4,48.22,78108,37.67,742,34913,44.7
ATFL, EQ, 01-Oct-2020,690.1,690.1,704.7,690.1,700,699.95,698.74,6323,44.18,853,4071,64.38
ATLANTA, EQ, 01-Oct-2020,6.7,6.95,6.95,6.55,6.6,6.6,6.73,4046,0.27,43,1601,39.57
ATLASCYCLE, BE, 01-Oct-2020,44.9,43.5,45.75,43.5,44.25,44.25,44.3,3536,1.57,27, -, -
ATUL, EQ, 01-Oct-2020,6112.3,6150,6251.7,6065.1,6120,6100.1,6181.71,13946,862.1,4286,6005,43.06
ATULAUTO, EQ, 01-Oct-2020,169.55,172.4,173.05,167,168.8,168.45,170.09,72347,123.05,1697,23917,33.06
AUBANK, EQ, 01-Oct-2020,654.35,663.1,672.7,662,663.9,666,666.4,223579,1489.93,6793,156985,70.21
AURIONPRO, EQ, 01-Oct-2020,67.4,68.3,70.75,64.95,70.75,70.45,66.74,58146,38.81,498,46426,79.84
AUROPHARMA, EQ, 01-Oct-2020,796.5,801,822.5,792,821.95,818.65,809.83,3752972,30392.65,73344,809662,21.57
AUSOMENT, EQ, 01-Oct-2020,51.6,50.85,52,44.9,47.5,47.65,47.49,58952,27.99,921,22420,38.03
AUTOAXLES, EQ, 01-Oct-2020,717.05,719,738,696,704.8,704.55,712.17,24806,176.66,2007,11930,48.09
AUTOIND, EQ, 01-Oct-2020,32.45,34,34,32.5,33.95,33.7,33.25,35185,11.7,352,26091,74.15
AUTOLITIND, EQ, 01-Oct-2020,19.55,20.25,20.3,19.3,20.05,19.75,19.71,3813,0.75,53,2606,68.35
AVADHSUGAR, EQ, 01-Oct-2020,180.45,182.5,183.15,177.3,178,178.05,179.76,19541,35.13,464,11001,56.3
AVANTIFEED, EQ, 01-Oct-2020,497.35,501.95,505.85,496.35,499.75,499.45,501.08,150724,755.25,5048,50833,33.73
AVTNPL, EQ, 01-Oct-2020,45.35,45.7,46.2,44.9,45.5,45.15,45.32,101973,46.21,671,64363,63.12
AXISBANK, EQ, 01-Oct-2020,424.65,430.2,445.3,427.4,442.05,443.7,439.6,21083336,92681.37,182058,3954141,18.75
AXISCADES, EQ, 01-Oct-2020,49.5,49.2,51.75,47.55,50.3,50.3,50.3,27240,13.7,403,14931,54.81
AXISGOLD, EQ, 01-Oct-2020,44,44.35,44.35,43.8,43.85,43.9,43.99,35967,15.82,449,21071,58.58
AXISNIFTY, EQ, 01-Oct-2020,116.5,113,118.5,113,117.98,117.93,117.43,7541,8.86,86,7260,96.27
AYMSYNTEX, EQ, 01-Oct-2020,23.15,23.6,24.55,23.15,24,24,23.88,6504,1.55,87,5826,89.58
BAFNAPH, EQ, 01-Oct-2020,41.75,43.8,43.8,43.8,43.8,43.8,43.8,1255,0.55,10,1255,100
BAGFILMS, EQ, 01-Oct-2020,2.65,2.65,2.65,2.55,2.55,2.55,2.59,107636,2.79,52,99110,92.08
BAJAJ-AUTO, EQ, 01-Oct-2020,2881.1,2940,3113.95,2940,2999,2985.4,3038.64,4741959,144091.17,162192,825915,17.42
BAJAJCON, EQ, 01-Oct-2020,182.8,183.2,186.7,180,181.3,181.3,182.67,382434,698.61,6442,120239,31.44
BAJAJELEC, EQ, 01-Oct-2020,503.2,506.9,510.85,490,493.15,493.8,502.45,377367,1896.09,10272,41564,11.01
BAJAJFINSV, EQ, 01-Oct-2020,5852.35,5907,6104.8,5895.05,6050,6053.6,6036.41,680757,41093.28,63319,110549,16.24
BAJAJHIND, EQ, 01-Oct-2020,5,5,5.05,4.9,4.9,4.95,4.97,1004572,49.88,1240,637615,63.47
BAJAJHLDNG, EQ, 01-Oct-2020,2413.95,2438,2489,2423.65,2450.05,2449.5,2458.04,38866,955.34,5644,17411,44.8
BAJFINANCE, EQ, 01-Oct-2020,3278.6,3325,3460,3315.05,3444,3442.8,3406.9,5382106,183363.13,206716,733573,13.63
BALAJITELE, EQ, 01-Oct-2020,67.85,69.3,70.85,69.2,69.9,69.7,69.96,144926,101.39,1811,35605,24.57
BALAMINES, EQ, 01-Oct-2020,807.4,816.45,834.15,804,806.45,806.25,818.51,80507,658.96,3650,32279,40.09
BALAXI, BE, 01-Oct-2020,706.3,741.6,741.6,741.6,741.6,741.6,741.6,747,5.54,41, -, -
BALKRISHNA, EQ, 01-Oct-2020,13.15,13.65,13.65,12.6,13.5,13.25,13.05,4497,0.59,107,2667,59.31
BALKRISIND, EQ, 01-Oct-2020,1477,1486.1,1500,1456,1463,1463.05,1474.63,640381,9443.26,38705,155383,24.26
BALLARPUR, BE, 01-Oct-2020,1.25,1.2,1.3,1.2,1.3,1.25,1.23,1137762,14.03,312, -, -
BALMLAWRIE, EQ, 01-Oct-2020,99.5,100.75,105,99.95,103.95,103.85,103.13,380414,392.31,4384,139332,36.63
BALPHARMA, EQ, 01-Oct-2020,43.05,43.45,44.45,42.6,42.6,43,43.7,27095,11.84,376,15330,56.58
BALRAMCHIN, EQ, 01-Oct-2020,155.2,156.5,156.5,151.5,152.2,152.15,153,399708,611.54,4484,223800,55.99
BANARBEADS, EQ, 01-Oct-2020,52,52.5,52.5,52.1,52.1,52.1,52.13,1892,0.99,16,1842,97.36
BANARISUG, EQ, 01-Oct-2020,1300,1314.7,1314.75,1300,1300,1300,1303.41,543,7.08,65,429,79.01
BANCOINDIA, EQ, 01-Oct-2020,89.85,90.75,90.75,88.2,89.4,89.65,89.88,40880,36.74,714,22687,55.5
BANDHANBNK, EQ, 01-Oct-2020,273,276.85,287,276.05,286.8,285.75,284.02,9299281,26412.07,92533,1682172,18.09
BANG, EQ, 01-Oct-2020,17.7,18.35,18.35,17.1,18,18,17.56,973,0.17,33,748,76.88
BANKA, SM, 01-Oct-2020,33.75,32.1,32.1,32.1,32.1,32.1,32.1,18000,5.78,6,9000,50
BANKBARODA, EQ, 01-Oct-2020,41.05,41.35,42.6,41.35,41.8,41.95,41.93,21969216,9211.72,32880,2511758,11.43
BANKBEES, EQ, 01-Oct-2020,215.94,217.1,224.17,217,223.4,223.71,221.96,1201384,2666.56,10687,706612,58.82
BANKINDIA, EQ, 01-Oct-2020,40.65,41,41.65,40.5,40.75,40.85,41.08,1421405,583.93,4577,491102,34.55
BANSWRAS, EQ, 01-Oct-2020,70.15,70.75,75,70.25,74.75,74.35,73.21,40255,29.47,445,34742,86.3
BARTRONICS, BZ, 01-Oct-2020,1.8,1.8,1.8,1.8,1.8,1.8,1.8,531,0.01,4, -, -
BASF, EQ, 01-Oct-2020,1511.55,1527,1560,1481.6,1549,1543.55,1526.41,79723,1216.9,6445,32454,40.71
BASML, EQ, 01-Oct-2020,89,91.9,92.9,88.4,89,90.85,90.69,488,0.44,43,327,67.01
BATAINDIA, EQ, 01-Oct-2020,1318.35,1347,1349.5,1330,1342.15,1342.35,1342.26,557631,7484.86,19174,145557,26.1
BAYERCROP, EQ, 01-Oct-2020,5891.2,5891.2,5969.95,5811.25,5850,5841.1,5871.61,20318,1192.99,7253,13370,65.8
BBL, EQ, 01-Oct-2020,685.85,690.05,705,690,698.5,699.2,697.17,3065,21.37,418,1861,60.72
BBTC, EQ, 01-Oct-2020,1304,1315,1325,1304.15,1318,1310,1313.78,41430,544.3,2968,10880,26.26
BCG, EQ, 01-Oct-2020,5.6,5.35,5.35,5.35,5.35,5.35,5.35,589297,31.53,1042,589207,99.98
BCP, EQ, 01-Oct-2020,4.7,4.8,4.8,4.55,4.7,4.65,4.65,48278,2.24,103,31393,65.03
BDL, EQ, 01-Oct-2020,314.75,316,325.95,315.05,325,323.8,320.47,847625,2716.36,14597,404869,47.77
BEARDSELL, BE, 01-Oct-2020,8.85,8.55,8.85,8.55,8.6,8.6,8.63,762,0.07,7, -, -
BEDMUTHA, BE, 01-Oct-2020,18.4,17.6,19.15,17.6,19.15,19.15,18.7,7276,1.36,24, -, -
BEL, EQ, 01-Oct-2020,95.75,96.25,97.6,95,96,96.1,96.1,4212627,4048.52,22625,1182924,28.08
BEML, EQ, 01-Oct-2020,610.45,614,619.9,606,613.75,612.9,612.78,219530,1345.23,8243,34976,15.93
BEPL, EQ, 01-Oct-2020,72.55,73.05,82.5,73.05,78.65,78.7,78.8,3727226,2936.87,26450,1214164,32.58
BERGEPAINT, EQ, 01-Oct-2020,583.7,590,592.9,582.35,589.15,590.55,586.76,907870,5327.01,23741,310823,34.24
